tract,loss_rate
21111006800,35.333
21111008400,35.608000000000004
21111010104,36.185
21111010320,35.502
21111011005,33.777
21111011403,34.117999999999995
21111011706,34.699999999999996
21111011710,34.048
21111011901,38.690000000000005
21111012408,34.507
21111012801,34.994
21111000600,37.113
21111001100,33.641
21111002300,36.239
21111004000,37.84
21111006600,35.115
21111009600,32.287
21111010004,35.238
21111010103,34.327000000000005
21111010319,34.489999999999995
21111010602,36.363
21111010902,35.814
21111011112,35.059000000000005
21111008500,34.211999999999996
21111011405,35.625
21111011514,34.494
21111012202,34.322
21111012410,34.592
21111012802,35.071999999999996
21111000700,36.232
21111001400,34.419
21111002100,37.153999999999996
21111003900,36.086
21111005100,36.122
21111005600,36.95
21111007900,35.205999999999996
21111002700,35.949999999999996
21111009400,35.481
21111010314,34.405
21111000300,34.77
21111001700,35.985
21111004302,37.367
21111011708,34.032000000000004
21111011113,34.203
21111011712,35.730000000000004
21111003700,37.425000000000004
21111001200,34.323
21111002400,35.649
21111006200,34.954
21111005900,33.893
21111010601,35.638999999999996
21111012503,34.951
21111011106,35.302
21111003500,36.797000000000004
21111003800,36.726
21111004500,34.959
21111005200,37.077
21111006900,33.975
21111001500,35.833999999999996
21111007400,35.839
21111007800,34.465
21111008200,35.824
21111008800,34.366
21111009000,36.126000000000005
21111009800,35.278
21111011002,35.693999999999996
21111011301,35.698
21111011513,33.751999999999995
21111011518,34.463
21111011519,35.493
21111011520,33.53
21111011111,34.363
21111011515,35.53
21111011711,34.97
21111011800,36.543
21111011904,35.158
21111012001,34.064
21111010001,33.745000000000005
21111010006,35.53
21111010313,35.737
21111010315,34.519
21111010405,34.833
21111010500,34.786
21111010901,35.465999999999994
21111012107,35.629
21111012302,34.405
21111012411,34.868
21111012502,34.979
21111013100,30.621
21111011603,36.083999999999996
21111011707,34.572
21111011709,33.964
21111012703,34.826
21111012301,34.358
21111007602,35.467
21111012103,34.299
21111000200,36.174
21111000400,34.669
21111000800,33.925
21111001000,35.841
21111001600,35.243
21111001800,37.11
21111002800,34.050999999999995
21111009103,36.425999999999995
21111009300,33.989000000000004
21111011302,35.197
21111011404,35.778999999999996
21111011505,35.009
21111011509,35.282000000000004
21111011906,37.119
21111011907,35.202
21111012002,35.175
21111012106,35.31
21111012203,33.898
21111012407,34.036
21111012409,34.355999999999995
21111010706,36.094
21111012601,34.443
21111008700,34.68
21111008900,33.416000000000004
21111006500,35.581
21111007000,34.284
21111008100,35.391
21111003000,38.391
21111003600,37.194
21111004100,37.434
21111004400,35.037
21111004600,35.93
21111007100,35.692
21111007700,33.879
21111004900,36.24
21111005300,36.497
21111006400,37.315
21111008300,35.049
21111010800,33.657
21111011004,34.849999999999994
21111011102,35.236000000000004
21111011109,36.327
21111011110,34.827999999999996
21111011200,36.369
21111010702,34.434
21111009700,33.476
21111009900,33.181
21111010007,34.18
21111010102,34.296
21111010403,34.975
21111010307,35.158
21111010311,35.148
21111010312,36.193
21111010317,34.091
21111010402,34.189
21111010406,34.688
21111012604,34.495
21111012702,36.503
21111980100,35.486000000000004
21111000900,34.410000000000004
21111007601,33.393
21111011601,33.775
21111011713,35.799
21111012204,34.64
21111012603,33.475
21111007603,34.684
21111009106,35.510000000000005
21111010008,34.158
21111010318,34.021
21111011406,35.609
21111011517,35.004000000000005
21111006300,36.155
21111004301,36.059999999999995
21111011506,35.9
21111007501,33.747
21111010005,35.374
21111011003,34.093
21111011114,33.94
21111011508,35.209
21111012104,35.56
21111009105,34.574
21111010316,35.455
21111012105,35.44
21111011905,35.415
21111010309,34.859
21111010705,34.121
21111011516,34.315
21111011604,35.983
21111012003,34.482
21111012701,35.167
21111007502,33.842
21111005000,34.699999999999996
21111012406,34.53
21111012501,34.714
21111010701,33.815
